cancer	gene	CGC	NCG6.0	mutation	CNV	methylation	miRNA
COAD	NEURL2	0	0	0	1	0	
COAD	MAP1LC3A	0	0	0	1	0	
COAD	R3HDML	0	0	0	1	0	
COAD	PABPC1L	0	1	0	1	0	
COAD	TNNC2	0	0	0	1	0	
COAD	GTF3A	0	0	0	1	0	
COAD	PMEPA1	0	0	0	1	0	
COAD	ACTL10	0	0	0	1	0	
COAD	LIME1	0	0	0	1	0	
COAD	LAPTM4B	0	1	0	1	0	
COAD	BCAS4	0	0	0	1	0	
COAD	SLC13A3	0	0	0	1	0	
COAD	ID1	0	0	0	1	0	
COAD	TMEM255B	0	0	0	1	0	
COAD	WFDC10A	0	0	0	1	0	
COAD	SALL4	1	1	0	1	0	
COAD	ROMO1	0	0	0	1	0	
COAD	DUSP15	0	0	0	1	0	
COAD	RPS21	0	0	0	1	0	
COAD	GRK1	0	0	0	1	0	
COAD	CLDN15	0	0	0	1	0	
COAD	F10	0	0	0	1	0	
COAD	FAM83C	0	0	0	1	0	
COAD	FUT8	0	0	0	-1	0	
COAD	TC2N	0	0	0	-1	0	
COAD	CCDC68	0	0	0	-1	0	
COAD	AK7	0	0	0	-1	0	
COAD	RAB27B	0	0	0	-1	0	
COAD	TMEM229B	0	0	0	-1	0	
COAD	AKAP5	0	0	0	-1	0	
COAD	ATP2A3	0	0	0	-1	0	
COAD	DNAH2	0	1	0	-1	0	
COAD	HS3ST3B1	0	0	0	-1	0	hsa-miR-335-3p
COAD	NFATC1	0	0	0	-1	0	
COAD	HMSD	0	0	0	-1	0	
COAD	ALOX12B	0	0	0	-1	0	
COAD	SERPINB5	0	0	0	-1	0	
COAD	RNF152	0	0	0	-1	0	
COAD	FBXO15	0	0	0	-1	0	
COAD	GUCY2D	0	0	0	-1	0	
COAD	ALPK2	0	1	0	-1	0	
COAD	ALOXE3	0	0	0	-1	0	
COAD	CD226	0	0	0	-1	0	
COAD	ZFY	0	0	0	-1	0	
COAD	CDRT1	0	0	0	-1	0	
COAD	UTY	0	0	0	-1	0	
COAD	RHOV	0	0	0	-1	0	
COAD	CDRT4	0	0	0	-1	0	
COAD	RASD1	0	0	0	-1	0	
COAD	TVP23C	0	0	0	-1	0	
COAD	DDX3Y	0	0	0	-1	0	
COAD	BEGAIN	0	0	0	-1	0	
COAD	ACVRL1	0	0	0	0	1	
COAD	APOLD1	0	0	0	0	-1	
COAD	ARHGEF10	1	1	0	0	1	
COAD	BMP4	0	0	0	0	-1	
COAD	BNIP3	0	0	0	0	1	
COAD	CARD11	1	1	0	0	1	
COAD	CEACAM5	0	0	0	0	1	
COAD	CEACAM6	0	0	0	0	-1	
COAD	ELAVL2	0	1	0	0	1	
COAD	EREG	0	0	0	0	-1	
COAD	HENMT1	0	0	0	0	1	
COAD	HOXA11-AS	0	0	0	0	1	
COAD	HOXA7	0	1	0	0	1	
COAD	HOXA9	1	1	0	0	1	
COAD	HOXB2	0	0	0	0	1	hsa-miR-17-3p
COAD	HOXB3	0	0	0	0	1	
COAD	HOXB4	0	0	0	0	1	
COAD	HOXB8	0	0	0	0	1	
COAD	HSPA1A	0	0	0	0	1	
COAD	HUNK	0	0	0	0	1	
COAD	IGFBP2	0	0	0	0	1	
COAD	IRX2	0	0	0	0	1	
COAD	KCNA2	0	0	0	0	1	
COAD	MGMT	1	1	0	0	1	
COAD	MLPH	0	0	0	0	1	
COAD	MYRF	0	0	0	0	-1	
COAD	PRAC2	0	0	0	0	1	
COAD	SKAP1	0	0	0	0	-1	
COAD	SNRPN	0	0	0	0	1	
COAD	SOX17	0	1	0	0	1	hsa-miR-200b-5p
COAD	STC2	0	0	0	0	1	
COAD	TBX20	0	0	0	0	1	
COAD	TGFB3	0	0	0	0	-1	hsa-miR-29b-3p
COAD	TOB1	0	0	0	0	1	
COAD	VANGL1	0	1	0	0	1	
COAD	XKR6	0	0	0	0	1	
COAD	ZNF551	0	0	0	0	1	
COAD	ZNF655	0	0	0	0	1	
