Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	type	reset_name
S006_SZ20191229045PES	S006_SZ20191229045PES_sort_dedup_realigned_recal.bam	174728834	174610811	10989094044	10987818928	74192.8166	129	57.0536	0.0039	181.7672	99.9324536212495	tumor	P44
S006_SZ20191229069PTS	S006_SZ20191229069PTS_sort_dedup_realigned_recal.bam	78925730	78902400	5502681640	5502090258	90187.7615	205	57.3182	0.0038	91.0182	99.9704405648196	normal	P29
S007_BJ20190416101PES	S007_BJ20190416101PES_sort_dedup_realigned_recal.bam	231460622	231376770	17160734147	17159072105	9379.1539	139	57.2205	0.0037	283.8504	99.9637726714482	tumor	P4
S007_SZ20191229051PES	S007_SZ20191229051PES_sort_dedup_realigned_recal.bam	213426112	213293513	12698473509	12697078639	35347.5243	150	57.1773	0.0037	210.0415	99.9378712385484	tumor	P9
S009_SZ20191229056PES	S009_SZ20191229056PES_sort_dedup_realigned_recal.bam	205219252	205120878	12097085378	12095681126	27515.1314	135	57.1196	0.0042	200.0942	99.9520639515829	tumor	P32
S009102_BJ20190416149PES	S009102_BJ20190416149PES_sort_dedup_realigned_recal.bam	426322750	426076182	28829363008	28826155084	11425.2835	119	57.0116	0.0036	476.8576	99.9421640060259	tumor	P34
S010_BJ20190416037PES	S010_BJ20190416037PES_sort_dedup_realigned_recal.bam	291348456	291253006	21552548523	21550427204	49683.1569	160	57.2249	0.0033	356.4941	99.9672385427023	tumor	P30
S010_SZ20191229057PES	S010_SZ20191229057PES_sort_dedup_realigned_recal.bam	239821058	239731687	15160171326	15158626014	44049.5078	158	57.1882	0.0037	250.7597	99.9627342983367	tumor	P32
S011_SZ20200107044PES	S011_SZ20200107044PES_sort_dedup_realigned_recal.bam	205295200	205216958	13319232720	13316828483	16338.8373	179	57.2831	0.0037	220.3093	99.9618880519369	tumor	P3
S012_BJ20190416039PES	S012_BJ20190416039PES_sort_dedup_realigned_recal.bam	267535322	267434072	18571218407	18569317735	80826.3148	136	57.0324	0.0033	307.1808	99.9621545300101	tumor	P37
S012_SZ20191229058PES	S012_SZ20191229058PES_sort_dedup_realigned_recal.bam	210922970	210827857	13227809083	13226262788	94311.9173	169	57.1745	0.0042	218.7971	99.954906286404	tumor	P22
S014_BJ20190416041PES	S014_BJ20190416041PES_sort_dedup_realigned_recal.bam	317019668	316910561	23661246354	23658795122	30576.394	150	57.2095	0.0033	391.3734	99.9655835233541	tumor	P21
S015_BJ20190416006PTS	S015_BJ20190416006PTS_sort_dedup_realigned_recal.bam	200133016	200028019	14959249181	14957840214	17330.9269	150	57.2084	0.0036	247.4363	99.9475363924961	normal	P31
S016_BJ20190416011PES	S016_BJ20190416011PES_sort_dedup_realigned_recal.bam	176768684	176716673	13188569128	13187348843	26898.3561	165	57.2388	0.0038	218.1481	99.9705768019408	tumor	P20
S016_BJ20190416043PES	S016_BJ20190416043PES_sort_dedup_realigned_recal.bam	309256346	309150595	22359546899	22357461254	40562.8978	149	57.154	0.0031	369.8424	99.9658047437449	tumor	P28
S019_BJ20190416021PES	S019_BJ20190416021PES_sort_dedup_realigned_recal.bam	312644342	312538028	23663340683	23660894217	5967.5698	144	57.2366	0.0035	391.408	99.9659952266144	tumor	P6
S021_BJ20190416023PES	S021_BJ20190416023PES_sort_dedup_realigned_recal.bam	212806218	212749882	15736956151	15735129724	5653.2098	138	57.1707	0.0039	260.3001	99.9735270893259	tumor	P17
S023_BJ20190416087PES	S023_BJ20190416087PES_sort_dedup_realigned_recal.bam	246645292	246574786	19117615812	19115529790	12404.2197	170	57.2597	0.0032	316.2186	99.9714140093945	tumor	P19
S023_BJ20190424001PES	S023_BJ20190424001PES_sort_dedup_realigned_recal.bam	262890956	262807801	18673094601	18671322205	12754.476	134	57.1197	0.0036	308.8659	99.9683690145659	tumor	P27
S024_BJ20190416088PTS	S024_BJ20190416088PTS_sort_dedup_realigned_recal.bam	195930582	195883937	14318603116	14317344104	13268.675	155	57.2546	0.003	236.8396	99.9761930988395	normal	P19
S024_BJ20190424002PES	S024_BJ20190424002PES_sort_dedup_realigned_recal.bam	251983780	251912914	18993448548	18991567319	28375.7334	148	57.1596	0.004	314.1648	99.9718767612741	tumor	P27
S025_BJ20190416052PTS	S025_BJ20190416052PTS_sort_dedup_realigned_recal.bam	251440436	251369668	18261725507	18260021744	23304.1878	158	57.2308	0.0034	302.0616	99.9718549644895	normal	P41
S025_BJ20190416089PES	S025_BJ20190416089PES_sort_dedup_realigned_recal.bam	181149476	177502188	12617735302	12616534165	41271.9634	155	57.1234	0.0035	208.7061	97.9865865027399	tumor	P31
S026_BJ20190416057PES	S026_BJ20190416057PES_sort_dedup_realigned_recal.bam	232486672	232429241	18136361075	18134622314	49706.2564	167	57.2135	0.0033	299.988	99.9752970785353	tumor	P14
S026_BJ20190416090PTS	S026_BJ20190416090PTS_sort_dedup_realigned_recal.bam	203059584	202626396	14207967704	14206622322	11273.8555	140	57.1567	0.0037	235.0096	99.7866695127279	normal	P31
S026_SZ20200107043PES	S026_SZ20200107043PES_sort_dedup_realigned_recal.bam	124166996	123905180	8904002694	8902918428	5997.3441	134	57.2066	0.0033	147.2784	99.789142035779	tumor	P3
S027_BJ20190416095PES	S027_BJ20190416095PES_sort_dedup_realigned_recal.bam	179473362	179404136	11851337025	11850319257	15777.1633	130	57.1218	0.0031	196.0293	99.9614282591976	tumor	P20
S028_BJ20190416077PES	S028_BJ20190416077PES_sort_dedup_realigned_recal.bam	336761856	336651192	25993569131	25990763046	16982.7446	157	57.2016	0.0031	429.9516	99.9671387961468	tumor	P50
S028_BJ20190424016PES	S028_BJ20190424016PES_sort_dedup_realigned_recal.bam	277899768	277821617	21315038439	21312852417	10686.7617	150	57.2001	0.0033	352.5655	99.9718779901968	tumor	P42
S029_BJ20190416098PTS	S029_BJ20190416098PTS_sort_dedup_realigned_recal.bam	241488572	241411473	17976954711	17975278326	11503.2995	157	57.2872	0.0032	297.3513	99.9680734374461	normal	P16
S029_BJ20190424017PES	S029_BJ20190424017PES_sort_dedup_realigned_recal.bam	281656116	281576709	21502438063	21500023763	38057.9019	155	57.1656	0.0035	355.6652	99.9718071096315	tumor	P42
S030_BJ20190416081PES	S030_BJ20190416081PES_sort_dedup_realigned_recal.bam	270004484	269919993	21012684624	21010757387	22752.6776	165	57.2324	0.0033	347.5643	99.9687075567234	tumor	P38
S030_BJ20190416099PES	S030_BJ20190416099PES_sort_dedup_realigned_recal.bam	202356106	202310783	14775808890	14774350001	18298.6661	165	57.2463	0.0032	244.4021	99.9776023561157	tumor	P8
S032_BJ20190416085PES	S032_BJ20190416085PES_sort_dedup_realigned_recal.bam	274408550	274320537	21134119029	21132127989	26633.5598	164	57.2081	0.0033	349.573	99.9679262909264	tumor	P23
S032_BJ20190424029DNA	S032_BJ20190424029DNA_sort_dedup_realigned_recal.bam	120255214	120232097	9590011668	9589203960	11074.3169	179	57.3834	0.0029	158.6254	99.980776717091	normal	P4
S033_BJ20190416100PTS	S033_BJ20190416100PTS_sort_dedup_realigned_recal.bam	250922624	250845626	19036121468	19034270292	12545.1767	168	57.2592	0.0036	314.8706	99.9693140463891	normal	P8
S033_BJ20190424030DNA	S033_BJ20190424030DNA_sort_dedup_realigned_recal.bam	92180454	92162338	7166747064	7166134814	23239.4319	177	57.3945	0.003	118.543	99.9803472436792	normal	P6
S034_BJ20190416111PES	S034_BJ20190416111PES_sort_dedup_realigned_recal.bam	269067414	268988822	20869122952	20867034513	17454.0233	170	57.2394	0.0038	345.1897	99.9707909631896	tumor	P45
S034_BJ20190424031DNA	S034_BJ20190424031DNA_sort_dedup_realigned_recal.bam	125061864	125034266	9911486210	9910585726	12212.4448	176	57.3094	0.0032	163.9428	99.9779325214599	normal	P17
S035_BJ20190416113PES	S035_BJ20190416113PES_sort_dedup_realigned_recal.bam	223532556	223467590	16804317552	16802242432	31931.7167	155	57.2562	0.0033	277.955	99.9709366719718	tumor	P2
S035_BJ20190424032DNA	S035_BJ20190424032DNA_sort_dedup_realigned_recal.bam	144760544	144731930	11311433820	11310458845	9985.8002	164	57.3508	0.0029	187.0989	99.9802335641955	normal	P24
S036_BJ20190416114PTS	S036_BJ20190416114PTS_sort_dedup_realigned_recal.bam	211915866	211853487	15720283715	15718838196	13849.084	150	57.2681	0.0034	260.0244	99.9705642615735	normal	P2
S036_BJ20190424033DNA	S036_BJ20190424033DNA_sort_dedup_realigned_recal.bam	114444828	114419940	9007826083	9007083883	11305.8424	175	57.3101	0.0031	148.9957	99.9782532767667	normal	P45
S037_BJ20190416080PTS	S037_BJ20190416080PTS_sort_dedup_realigned_recal.bam	235117332	235022061	18037850921	18036146322	24188.9825	169	57.2242	0.0033	298.3585	99.9594793802781	normal	P36
S037_BJ20190416116PTS	S037_BJ20190416116PTS_sort_dedup_realigned_recal.bam	243057198	242958712	17248001596	17246320897	8963.6006	135	57.1527	0.0043	285.2939	99.9594803195255	normal	P47
S037_BJ20190424034DNA	S037_BJ20190424034DNA_sort_dedup_realigned_recal.bam	97849964	97831773	7988395046	7987735272	9232.5832	179	57.4147	0.0031	132.1336	99.9814092931092	normal	P1
S038_BJ20190416083PES	S038_BJ20190416083PES_sort_dedup_realigned_recal.bam	223738834	223635739	15969928026	15968435292	88365.741	145	57.0891	0.0031	264.1537	99.9539217228601	tumor	P18
S038_BJ20190416117PES	S038_BJ20190416117PES_sort_dedup_realigned_recal.bam	215331880	215269441	16194006091	16192503964	15780.7437	158	57.2954	0.0036	267.8601	99.9710033646667	tumor	P1
S038_BJ20190424035DNA	S038_BJ20190424035DNA_sort_dedup_realigned_recal.bam	86496462	86478124	6761709106	6761138434	25404.8054	179	57.3322	0.0031	111.8433	99.9787991328478	normal	P37
S039_BJ20190416137PES	S039_BJ20190416137PES_sort_dedup_realigned_recal.bam	251426150	251320524	18800331253	18798511934	55836.6027	157	57.2004	0.0035	310.9705	99.9579892544988	tumor	P39
S039_BJ20190424036DNA	S039_BJ20190424036DNA_sort_dedup_realigned_recal.bam	102539004	102520352	7893746161	7893081877	33389.2178	180	57.3844	0.003	130.568	99.9818098486699	normal	P21
S040_BJ20190424037DNA	S040_BJ20190424037DNA_sort_dedup_realigned_recal.bam	89436928	89421425	6970389620	6969799316	35736.5067	182	57.3472	0.0031	115.2951	99.982665996757	normal	P28
S041_BJ20190424038DNA	S041_BJ20190424038DNA_sort_dedup_realigned_recal.bam	138634258	138597086	10861777790	10860849951	13083.3686	175	57.3044	0.003	179.6613	99.973187002595	normal	P48
S042_BJ20190424028DNA	S042_BJ20190424028DNA_sort_dedup_realigned_recal.bam	323333486	323235181	25411731192	25409623506	9545.8816	182	57.2666	0.0029	420.3276	99.9695964061081	normal	P20
S042_BJ20190424039DNA	S042_BJ20190424039DNA_sort_dedup_realigned_recal.bam	105492998	105469561	8152812379	8152154116	24406.4425	177	57.3267	0.003	134.8532	99.9777833596122	normal	P13
S043_BJ20190424040DNA	S043_BJ20190424040DNA_sort_dedup_realigned_recal.bam	98231618	98213010	7631667275	7631018949	37005.8717	182	57.33	0.0031	126.2331	99.9810570156749	normal	P15
S043_BJ20190426001DNA	S043_BJ20190426001DNA_sort_dedup_realigned_recal.bam	380434584	380274836	29915449295	29912885069	9713.2129	182	57.3165	0.003	494.8222	99.9580090752212	normal	P5
S044_BJ20190424041DNA	S044_BJ20190424041DNA_sort_dedup_realigned_recal.bam	84910592	84894995	6576644245	6576088368	18970.9421	188	57.4193	0.0029	108.7822	99.9816312669213	normal	P39
S044_SZ20200107024DNA	S044_SZ20200107024DNA_sort_dedup_realigned_recal.bam	139074812	139018867	10303816916	10302813331	53407.8729	204	57.3029	0.0031	170.4323	99.9597734491275	normal	P51
S045_BJ20190424042DNA	S045_BJ20190424042DNA_sort_dedup_realigned_recal.bam	132778962	132746548	10375077400	10374226524	12091.1741	170	57.2894	0.0031	171.611	99.9755880001532	normal	P14
S045_SZ20200107029DNA	S045_SZ20200107029DNA_sort_dedup_realigned_recal.bam	126774876	126729993	9533701462	9532814788	30636.715	183	57.3092	0.003	157.694	99.9645962974557	normal	P33
S046_BJ20190424043DNA	S046_BJ20190424043DNA_sort_dedup_realigned_recal.bam	90096508	90077385	7040661714	7040091836	16764.1055	183	57.343	0.003	116.4574	99.9787749820448	normal	P7
S046_SZ20200107032DNA	S046_SZ20200107032DNA_sort_dedup_realigned_recal.bam	109679894	109643806	8167636718	8166905681	33163.4904	179	57.3644	0.0029	135.0984	99.9670969776831	normal	P11
S047_BJ20190424044DNA	S047_BJ20190424044DNA_sort_dedup_realigned_recal.bam	90239974	90223679	7066604935	7065997207	25102.2312	175	57.3261	0.0032	116.8865	99.981942592315	normal	P34
S047_SZ20200107035DNA	S047_SZ20200107035DNA_sort_dedup_realigned_recal.bam	109299232	109259295	8088240165	8087523142	23276.7639	176	57.313	0.0031	133.7851	99.9634608594505	normal	P44
S048_BJ20190416045PES	S048_BJ20190416045PES_sort_dedup_realigned_recal.bam	255221326	255128002	19314318760	19311945173	47015.5825	163	57.1844	0.0035	319.4722	99.9634340901434	tumor	P48
S048_SZ20200107038DNA	S048_SZ20200107038DNA_sort_dedup_realigned_recal.bam	105270402	105234861	7852184256	7851475465	22299.8269	177	57.3077	0.003	129.8806	99.9662383734414	normal	P9
S049_SZ20200107042DNA	S049_SZ20200107042DNA_sort_dedup_realigned_recal.bam	128063938	128013401	9622257278	9621432834	16303.5615	178	57.3082	0.003	159.1588	99.960537680795	normal	P32
S050_BJ20190416047PES	S050_BJ20190416047PES_sort_dedup_realigned_recal.bam	310759636	310639528	23823780893	23821444935	7586.6826	154	57.2241	0.0034	394.0618	99.9613501928545	tumor	P13
S050_BJ20190424047DNA	S050_BJ20190424047DNA_sort_dedup_realigned_recal.bam	104258640	104234851	8277227028	8276530074	11395.3792	173	57.3185	0.0033	136.9111	99.9771827063925	normal	P12
S050_SZ20200107047DNA	S050_SZ20200107047DNA_sort_dedup_realigned_recal.bam	105614586	105572785	7957286134	7956510189	15916.2856	181	57.3155	0.0032	131.619	99.9604211865206	normal	P22
S051_BJ20190424048DNA	S051_BJ20190424048DNA_sort_dedup_realigned_recal.bam	92920430	92895681	7266365837	7265776372	17172.1758	175	57.3942	0.0031	120.1907	99.9733653836944	normal	P40
S052_BJ20190416049PES	S052_BJ20190416049PES_sort_dedup_realigned_recal.bam	281857114	281759079	22103179294	22100899946	13638.2784	161	57.225	0.0039	365.6019	99.9652181920801	tumor	P15
S052_BJ20190424049DNA	S052_BJ20190424049DNA_sort_dedup_realigned_recal.bam	103630308	103608440	8214464771	8213752631	13163.3173	173	57.3198	0.0032	135.8729	99.9788980652262	normal	P50
S053_BJ20190424050DNA	S053_BJ20190424050DNA_sort_dedup_realigned_recal.bam	109010638	108987506	8661897423	8661155736	12249.5955	178	57.3339	0.0032	143.2738	99.9787800526404	normal	P38
S054_BJ20190416051PES	S054_BJ20190416051PES_sort_dedup_realigned_recal.bam	229422538	229355589	16599243056	16597683449	11329.7526	144	57.1929	0.0035	274.563	99.9708184729436	tumor	P41
S054_BJ20190424051DNA	S054_BJ20190424051DNA_sort_dedup_realigned_recal.bam	91653744	91635617	7288001487	7287408267	11348.6306	174	57.3299	0.0033	120.5486	99.9802223027572	normal	P18
S055_BJ20190424052DNA	S055_BJ20190424052DNA_sort_dedup_realigned_recal.bam	111400870	111373758	8539971308	8539264881	15482.9822	165	57.2824	0.0029	141.257	99.9756626676255	normal	P23
S056_BJ20190416013PES	S056_BJ20190416013PES_sort_dedup_realigned_recal.bam	220149422	220071540	15064156939	15062841234	29333.8608	134	57.1539	0.0037	249.1716	99.9646231185654	tumor	P16
S056_BJ20190424053DNA	S056_BJ20190424053DNA_sort_dedup_realigned_recal.bam	99908358	99890895	7741895148	7741259726	46251.8496	180	57.3107	0.0029	128.0563	99.9825209818782	normal	P27
S057_BJ20190416014PTS	S057_BJ20190416014PTS_sort_dedup_realigned_recal.bam	210211234	210129058	14392003365	14390669466	16883.3314	134	57.184	0.0043	238.0537	99.960907893248	normal	P16
S058_BJ20190416016PTS	S058_BJ20190416016PTS_sort_dedup_realigned_recal.bam	248834260	248745844	17659747257	17658147688	36698.821	144	57.1487	0.0037	292.1044	99.9644679153104	normal	P8
S060_BJ20190416030PTS	S060_BJ20190416030PTS_sort_dedup_realigned_recal.bam	293591798	293480587	21595291840	21593291186	30441.7094	151	57.2166	0.0038	357.2011	99.962120535806	normal	P2
S061_BJ20190416033PES	S061_BJ20190416033PES_sort_dedup_realigned_recal.bam	285173284	285059872	20684763932	20682697211	41458.6033	149	57.2068	0.0038	342.1403	99.960230496206	tumor	P1
S061_BJ20190416053PES	S061_BJ20190416053PES_sort_dedup_realigned_recal.bam	171684926	171627395	13196211894	13194924879	18854.1476	159	57.2789	0.0056	218.2745	99.966490360371	tumor	P39
S062_BJ20190416035PES	S062_BJ20190416035PES_sort_dedup_realigned_recal.bam	288660396	288549662	20904383745	20902315338	13095.6684	145	57.2127	0.004	345.773	99.9616386585987	tumor	P5
S062_BJ20190416079PES	S062_BJ20190416079PES_sort_dedup_realigned_recal.bam	189122882	189037285	13426054647	13424808291	112003.1396	156	57.1095	0.0056	222.0762	99.954740008668	tumor	P36
S063_BJ20190416157PES	S063_BJ20190416157PES_sort_dedup_realigned_recal.bam	177403974	177341510	12798784848	12797443210	79170.4853	148	57.1232	0.0051	211.7008	99.9647899657535	tumor	P35
S064_BJ20190424061DNA	S064_BJ20190424061DNA_sort_dedup_realigned_recal.bam	104931110	104906824	8159272666	8158582043	15751.6838	180	57.3331	0.003	134.96	99.9768552910571	normal	P42
S065_BJ20190416109PES	S065_BJ20190416109PES_sort_dedup_realigned_recal.bam	213982160	213902282	15487178054	15485499679	49002	146	57.1851	0.0055	256.1686	99.9626707198395	tumor	P24
S065140_SZ20191229059PES	S065140_SZ20191229059PES_sort_dedup_realigned_recal.bam	255542228	255230898	18459399040	18456899187	63353.5229	143	57.0771	0.0043	305.3312	99.8781688637386	tumor	P22
S066141_SZ20191229060PES	S066141_SZ20191229060PES_sort_dedup_realigned_recal.bam	254967620	254551065	18119789448	18117083887	66393.256	138	57.0502	0.0048	299.7139	99.8366243525354	tumor	P49
S067_BJ20190416031PES	S067_BJ20190416031PES_sort_dedup_realigned_recal.bam	266249374	266142264	19799084217	19797014296	14329.9085	145	57.1665	0.0058	327.4906	99.9597707974329	tumor	P47
S067_BJ20190424064DNA	S067_BJ20190424064DNA_sort_dedup_realigned_recal.bam	108418244	108388598	8154997593	8154341715	15369.8243	164	57.2736	0.003	134.8893	99.9726558935967	normal	P26
S067142_SZ20191229062PES	S067142_SZ20191229062PES_sort_dedup_realigned_recal.bam	231463102	231244628	16443658785	16441254551	28229.6828	131	57.1061	0.0047	271.9895	99.9056117376324	tumor	P49
S068_BJ20190416133PES	S068_BJ20190416133PES_sort_dedup_realigned_recal.bam	236798896	236718887	18099311125	18097551977	18903.1204	164	57.2162	0.0059	299.3751	99.9662122580166	tumor	P15
S068_BJ20190424065DNA	S068_BJ20190424065DNA_sort_dedup_realigned_recal.bam	125289240	125259470	9821541081	9820697798	15095.5037	182	57.3184	0.003	162.4551	99.9762389810969	normal	P35
S068143_SZ20191229064PES	S068143_SZ20191229064PES_sort_dedup_realigned_recal.bam	228258656	228015171	15779059687	15776718673	39599.2803	121	56.9979	0.0046	260.9966	99.8933293465112	tumor	P34
S069_BJ20190426002DNA	S069_BJ20190426002DNA_sort_dedup_realigned_recal.bam	90303918	90282547	6974207072	6973594797	31695.0204	184	57.4014	0.0031	115.3582	99.9763343601548	normal	P30
S069_SZ20191229070PTS	S069_SZ20191229070PTS_sort_dedup_realigned_recal.bam	113646100	113601119	7137856865	7137085935	49648.6203	188	57.3104	0.0037	118.0651	99.9604201112049	normal	P25
S069144_SZ20191229066PES	S069144_SZ20191229066PES_sort_dedup_realigned_recal.bam	219534002	219380958	16295202873	16292909078	44360.7808	142	57.1206	0.004	269.5339	99.9302868810272	tumor	P29
S070_SZ20191229071PTS	S070_SZ20191229071PTS_sort_dedup_realigned_recal.bam	126565890	126513538	7981854566	7980967811	26849.4801	173	57.2847	0.0038	132.0254	99.9586365647174	normal	P25
S071_BJ20190426004DNA	S071_BJ20190426004DNA_sort_dedup_realigned_recal.bam	98018982	97997380	7546542739	7545920791	34613.9317	188	57.3319	0.0032	124.825	99.9779614115968	normal	P43
S071_SZ20191229080PES	S071_SZ20191229080PES_sort_dedup_realigned_recal.bam	105491712	105408927	6582905440	6582177259	13093.582	194	57.3278	0.0038	108.8858	99.9215246407225	normal	P46
S072_BJ20190416029PES	S072_BJ20190416029PES_sort_dedup_realigned_recal.bam	235895002	235815986	16231564192	16229316775	65594.6047	137	57.1276	0.005	268.4813	99.9665037413552	tumor	P2
S074_BJ20190416015PES	S074_BJ20190416015PES_sort_dedup_realigned_recal.bam	175679436	175568009	8032854827	8031993022	337539.7154	101	56.5262	0.0045	132.869	99.9365736807124	tumor	P8
S076_BJ20190416105PES	S076_BJ20190416105PES_sort_dedup_realigned_recal.bam	373797038	373641816	29268264505	29265304269	24193.8337	170	57.2517	0.0064	484.1173	99.9584742562888	tumor	P6
S080_BJ20190416129PES	S080_BJ20190416129PES_sort_dedup_realigned_recal.bam	163752680	163631838	12164576689	12163175041	14334.4133	173	57.2285	0.0077	201.2105	99.9262045665451	tumor	P48
S085_BJ20190416135PES	S085_BJ20190416135PES_sort_dedup_realigned_recal.bam	146871658	146771799	10570520217	10569434065	11138.8347	149	57.1841	0.0071	174.8437	99.9320093465548	tumor	P41
S086_BJ20190416136PTS	S086_BJ20190416136PTS_sort_dedup_realigned_recal.bam	151273880	151147569	10667449981	10666381800	14169.9701	152	57.1976	0.0074	176.447	99.9165017780994	normal	P41
S087_BJ20190416141PES	S087_BJ20190416141PES_sort_dedup_realigned_recal.bam	149711014	149561327	11166330323	11165207547	31684.2554	168	57.208	0.0077	184.6988	99.900016040236	tumor	P14
S089_BJ20190416143PES	S089_BJ20190416143PES_sort_dedup_realigned_recal.bam	161158080	161039628	12225564530	12224236318	11919.7017	161	57.2056	0.0076	202.2193	99.9264994966433	tumor	P7
S089_SZ20191229046PES	S089_SZ20191229046PES_sort_dedup_realigned_recal.bam	292558970	292407021	17928158407	17926162005	30621.9135	147	57.1526	0.0044	296.5441	99.9480620949684	tumor	P10
S090_SZ20191229044PES	S090_SZ20191229044PES_sort_dedup_realigned_recal.bam	186070366	185833890	10006631853	10005012270	195301.7318	145	57.0094	0.0045	165.5166	99.8729104450732	tumor	P44
S090_SZ20191229061PTS	S090_SZ20191229061PTS_sort_dedup_realigned_recal.bam	102462808	102336226	7524261608	7523272495	8979.258	143	57.2401	0.0041	124.4565	99.8764605397112	normal	P49
S091_BJ20190416145PES	S091_BJ20190416145PES_sort_dedup_realigned_recal.bam	153903112	153807122	11656367417	11655117680	11597.483	168	57.233	0.0079	192.8044	99.9376295912717	tumor	P43
S091_SZ20191229035PES	S091_SZ20191229035PES_sort_dedup_realigned_recal.bam	289248890	288886153	15059967976	15058075667	85030.3963	126	56.963	0.0044	249.1023	99.8745934686214	tumor	P51
S091_SZ20191229063PTS	S091_SZ20191229063PTS_sort_dedup_realigned_recal.bam	83909930	83774986	5439229081	5438455007	10532.5279	125	57.1719	0.0046	89.9686	99.8391799397282	normal	P49
S092_SZ20191229036PES	S092_SZ20191229036PES_sort_dedup_realigned_recal.bam	238181692	237844842	12816978114	12815472006	72025.3336	130	57.0288	0.0041	212.0017	99.8585743525577	tumor	P51
S094_SZ20191229047PES	S094_SZ20191229047PES_sort_dedup_realigned_recal.bam	297683242	297518851	18398761913	18396683644	48449.4646	152	57.1475	0.0044	304.3283	99.9447765353214	tumor	P10
S095_SZ20191229050PES	S095_SZ20191229050PES_sort_dedup_realigned_recal.bam	256295406	256128073	16185063203	16183284950	58969.5536	158	57.1666	0.0041	267.7121	99.934710885922	tumor	P9
S098_BJ20190416159PES	S098_BJ20190416159PES_sort_dedup_realigned_recal.bam	392377446	392150917	29056596430	29053909618	63488.9289	154	57.1691	0.0034	480.6162	99.9422675787538	tumor	P40
S099_BJ20190416161PES	S099_BJ20190416161PES_sort_dedup_realigned_recal.bam	239430704	239355761	17410212631	17408074995	38376.0312	173	57.2125	0.0067	287.977	99.9686995031347	tumor	P50
S101_BJ20190416155PES	S101_BJ20190416155PES_sort_dedup_realigned_recal.bam	343047154	342843918	23513619428	23510615026	30443.5246	121	56.9917	0.0036	388.9315	99.9407556664936	tumor	P12
S101_BJ20190416169PES	S101_BJ20190416169PES_sort_dedup_realigned_recal.bam	341290016	341165891	24038387882	24036043209	31387.7434	163	57.177	0.0056	397.6116	99.963630638407	tumor	P23
S103_BJ20190416061PES	S103_BJ20190416061PES_sort_dedup_realigned_recal.bam	298747938	298612051	21514089798	21511962599	74201.4516	148	57.0975	0.0035	355.8579	99.9545144977703	tumor	P43
S103_BJ20190416171PES	S103_BJ20190416171PES_sort_dedup_realigned_recal.bam	245876994	245800801	18070264830	18068212110	27268.6204	172	57.2288	0.0059	298.8947	99.969011740887	tumor	P19
