reset_name	Sample	type	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	fastp_mqc.generalstats.fastp.pct_duplication	fastp_mqc.generalstats.fastp.after_filtering_q30_rate	fastp_mqc.generalstats.fastp.after_filtering_q30_bases	fastp_mqc.generalstats.fastp.filtering_result_passed_filter_reads	fastp_mqc.generalstats.fastp.after_filtering_gc_content	fastp_mqc.generalstats.fastp.pct_surviving	fastp_mqc.generalstats.fastp.pct_adapter	Genome_fraction_30x
P4	S007_BJ20190416101PES	tumor	231460622	231376770	17160734147	17159072105	9379.1539	139	57.2205	0.0037	283.8504	99.9637726714482	32.5622	0.949531	28372642906	231460622	0.513767	98.8163315864501	59.3165188229578	90.22
P4	S032_BJ20190424029DNA	normal	120255214	120232097	9590011668	9589203960	11074.3169	179	57.3834	0.0029	158.6254	99.980776717091	24.5142	0.955297	16444602336	120255214	0.495109	99.1236840634145	24.896814864258	89.13
P4	S149_BJ20190416017PES	tumor	317182712	317085886	21807201388	21805004253	112826.6132	146	57.0941	0.0036	360.7062	99.9694731155461	37.4136	0.953123	39820006234	317182712	0.491269	99.1383910408666	46.6964771928108	91.81
P5	S043_BJ20190426001DNA	normal	380434584	380274836	29915449295	29912885069	9713.2129	182	57.3165	0.003	494.8222	99.9580090752212	38.931	0.95248	52140430227	380434584	0.49211	99.0349314118929	22.6864341163004	94.19
P5	S062_BJ20190416035PES	tumor	288660396	288549662	20904383745	20902315338	13095.6684	145	57.2127	0.004	345.773	99.9616386585987	38.6893	0.948016	35638964845	288660396	0.499076	99.0798322450928	52.2346085839195	91.56
P5	S118_BJ20190416119PES	tumor	241003906	240924775	17484042271	17482241036	30749.2165	139	57.1625	0.0038	289.1982	99.9671660923205	44.9128	0.955521	29394437834	241003906	0.523374	98.9703960360642	56.0970767386683	90.08
P6	S019_BJ20190416021PES	tumor	312644342	312538028	23663340683	23660894217	5967.5698	144	57.2366	0.0035	391.408	99.9659952266144	42.305	0.954612	39084597714	312644342	0.527048	99.0947730718106	53.7947769412201	91.77
P6	S033_BJ20190424030DNA	normal	92180454	92162338	7166747064	7166134814	23239.4319	177	57.3945	0.003	118.543	99.9803472436792	25.7169	0.953005	12553538918	92180454	0.476506	99.2241523271178	26.2420691843184	85.72
P6	S076_BJ20190416105PES	tumor	373797038	373641816	29268264505	29265304269	24193.8337	170	57.2517	0.0064	484.1173	99.9584742562888	46.0651	0.927684	48788217321	373797038	0.514919	99.1053426289473	31.0715395384004	93.35
P7	S046_BJ20190424043DNA	normal	90096508	90077385	7040661714	7040091836	16764.1055	183	57.343	0.003	116.4574	99.9787749820448	23.5459	0.954956	12407338545	90096508	0.477032	99.2216885652979	22.394126024578	85.77
P7	S089_BJ20190416143PES	tumor	161158080	161039628	12225564530	12224236318	11919.7017	161	57.2056	0.0076	202.2193	99.9264994966433	34.3968	0.917826	20376004348	161158080	0.507881	98.8054271728437	36.3519490755323	89.12
P7	S106_BJ20190416059PES	tumor	238293214	238219786	18067747820	18065980218	14872.3141	147	57.1852	0.0055	298.8531	99.9691858619188	35.8931	0.934494	29344983482	238293214	0.521001	99.1505398623941	51.2146378558421	90.79
P8	S030_BJ20190416099PES	tumor	202356106	202310783	14775808890	14774350001	18298.6661	165	57.2463	0.0032	244.4021	99.9776023561157	34.8662	0.95417	26891190772	202356106	0.469937	99.3408834315786	34.9974426446808	90.34
P8	S033_BJ20190416100PTS	normal	250922624	250845626	19036121468	19034270292	12545.1767	168	57.2592	0.0036	314.8706	99.9693140463891	38.2779	0.951315	33467068327	250922624	0.468863	99.1401291798337	32.5716620521078	91.96
P8	S058_BJ20190416016PTS	normal	248834260	248745844	17659747257	17658147688	36698.821	144	57.1487	0.0037	292.1044	99.9644679153104	37.0626	0.94812	30856792859	248834260	0.473395	99.197229378681	52.5079797927346	90.83
P8	S074_BJ20190416015PES	tumor	175679436	175568009	8032854827	8031993022	337539.7154	101	56.5262	0.0045	132.869	99.9365736807124	43.4821	0.935591	19480133324	175679436	0.488779	99.0808182969381	61.777741632514	83.06
P9	S007_SZ20191229051PES	tumor	213426112	213293513	12698473509	12697078639	35347.5243	150	57.1773	0.0037	210.0415	99.9378712385484	34.6199	0.95861	26932219095	213426112	0.50246	98.8527224618153	49.0010510269606	89.68
P9	S048_SZ20200107038DNA	normal	105270402	105234861	7852184256	7851475465	22299.8269	177	57.3077	0.003	129.8806	99.9662383734414	22.1127	0.95199	14302284759	105270402	0.493769	98.9653920840248	26.7723198493603	87.11
P9	S095_SZ20191229050PES	tumor	256295406	256128073	16185063203	16183284950	58969.5536	158	57.1666	0.0041	267.7121	99.934710885922	35.9146	0.952895	33038295289	256295406	0.51153	99.0171580841475	42.0540532262424	91.23
P10	S089_SZ20191229046PES	tumor	292558970	292407021	17928158407	17926162005	30621.9135	147	57.1526	0.0044	296.5441	99.9480620949684	33.7032	0.953319	36930284639	292558970	0.500483	99.0214020472618	51.7377288304115	91.49
P10	S094_SZ20191229047PES	tumor	297683242	297518851	18398761913	18396683644	48449.4646	152	57.1475	0.0044	304.3283	99.9447765353214	35.144	0.951927	38217617269	297683242	0.496681	98.9596873115376	45.5854291013588	91.91
P10	S116_SZ20191229048PTS	normal	90426114	90402478	6655646932	6654943139	32439.081	154	57.2422	0.0045	110.089	99.9738615329638	24.0887	0.947212	11666103591	90426114	0.507603	98.8705811244309	43.47518294249	82.59
P10	S117_SZ20191229049PTS	normal	103949214	103919160	7604347983	7603513812	42119.3403	166	57.2622	0.0046	125.7812	99.9710878044734	25.995	0.949224	13732425218	103949214	0.502867	98.8767610136608	34.6652179724478	85.65
P11	S004_SZ20191229042PES	tumor	204354870	204246055	13566786629	13565235274	80853.0224	140	57.145	0.0038	224.404	99.9467519418549	35.9972	0.960022	25593742873	204354870	0.525652	98.6070682988923	52.9926751580247	88.72
P11	S005_SZ20191229043PES	tumor	186672842	186562705	12253432941	12251995749	126961.6466	148	57.144	0.0036	202.6803	99.9409999875611	36.0799	0.957818	24082595571	186672842	0.509692	98.6027744783036	44.7053493190047	88.77
P11	S046_SZ20200107032DNA	normal	109679894	109643806	8167636718	8166905681	33163.4904	179	57.3644	0.0029	135.0984	99.9670969776831	22.9169	0.954282	14971248973	109679894	0.492049	99.1306644466968	25.6679870423588	87.66
P12	S050_BJ20190424047DNA	normal	104258640	104234851	8277227028	8276530074	11395.3792	173	57.3185	0.0033	136.9111	99.9771827063925	21.6973	0.951747	14114772857	104258640	0.496903	99.0383296444415	28.1747926779455	87.54
P12	S101_BJ20190416155PES	tumor	343047154	342843918	23513619428	23510615026	30443.5246	121	56.9917	0.0036	388.9315	99.9407556664936	55.4879	0.956301	38629493681	343047154	0.540973	98.6289867709673	71.7644566496548	89.71
P12	S110_BJ20190416071PES	tumor	296813932	296715895	22579501543	22577084373	7601.4836	154	57.2075	0.0054	373.4806	99.9669702162094	42.7864	0.935664	37643429914	296813932	0.494006	99.1102110581101	44.7686556364317	92.31
P13	S006_BJ20190416131PES	tumor	366974414	366780935	27154401483	27151061866	16152.1218	155	57.1581	0.0054	449.1526	99.9472772507786	42.0894	0.936236	46651555834	366974414	0.502279	99.046579704472	42.177749228542	92.99
P13	S042_BJ20190424039DNA	normal	105492998	105469561	8152812379	8152154116	24406.4425	177	57.3267	0.003	134.8532	99.9777833596122	24.7374	0.951862	14404653880	105492998	0.474623	99.2110159938773	25.3363890473549	86.96
P13	S050_BJ20190416047PES	tumor	310759636	310639528	23823780893	23821444935	7586.6826	154	57.2241	0.0034	394.0618	99.9613501928545	38.1782	0.951548	40303581386	310759636	0.490689	99.1756298550271	44.2942217202798	92.58
P14	S026_BJ20190416057PES	tumor	232486672	232429241	18136361075	18134622314	49706.2564	167	57.2135	0.0033	299.988	99.9752970785353	35.795	0.956491	31381890718	232486672	0.501011	99.2557916299559	31.6996669467762	91.82
P14	S045_BJ20190424042DNA	normal	132778962	132746548	10375077400	10374226524	12091.1741	170	57.2894	0.0031	171.611	99.9755880001532	26.1678	0.952983	17914471619	132778962	0.491855	99.0654735682252	30.4766068388002	89.39
P14	S087_BJ20190416141PES	tumor	149711014	149561327	11166330323	11165207547	31684.2554	168	57.208	0.0077	184.6988	99.900016040236	34.0562	0.914096	19083052895	149711014	0.492544	98.8865663374099	30.8222788663395	89.05
P15	S043_BJ20190424040DNA	normal	98231618	98213010	7631667275	7631018949	37005.8717	182	57.33	0.0031	126.2331	99.9810570156749	24.4701	0.953014	13537003177	98231618	0.473232	99.247192688398	21.8047027259602	86.31
P15	S052_BJ20190416049PES	tumor	281857114	281759079	22103179294	22100899946	13638.2784	161	57.225	0.0039	365.6019	99.9652181920801	35.145	0.947969	37199928612	281857114	0.501231	99.1591592922751	37.0521079575882	92.58
P15	S068_BJ20190416133PES	tumor	236798896	236718887	18099311125	18097551977	18903.1204	164	57.2162	0.0059	299.3751	99.9662122580166	30.5905	0.930091	30497061307	236798896	0.5025	99.2584603938369	35.7166996414758	91.79
P16	S029_BJ20190416098PTS	normal	241488572	241411473	17976954711	17975278326	11503.2995	157	57.2872	0.0032	297.3513	99.9680734374461	36.9181	0.953482	31459806334	241488572	0.494186	99.1566294673335	41.651167320922	91.67
P16	S056_BJ20190416013PES	tumor	220149422	220071540	15064156939	15062841234	29333.8608	134	57.1539	0.0037	249.1716	99.9646231185654	37.7877	0.949635	26092024598	220149422	0.476562	99.1571212692029	61.4547922422472	89.15
P16	S057_BJ20190416014PTS	normal	210211234	210129058	14392003365	14390669466	16883.3314	134	57.184	0.0043	238.0537	99.960907893248	35.7805	0.947045	24963537820	210211234	0.479182	99.1711976565523	62.0827074724429	89.21
P16	S116_BJ20190416097PES	tumor	227999504	227940418	16083648691	16082096236	9210.9791	141	57.2279	0.0039	266.0347	99.9740850313429	47.2913	0.9548	27998257900	227999504	0.492704	99.257670294644	56.984363443721	90.2
P17	S021_BJ20190416023PES	tumor	212806218	212749882	15736956151	15735129724	5653.2098	138	57.1707	0.0039	260.3001	99.9735270893259	36.2717	0.957095	25923039799	212806218	0.526097	99.1706712800807	59.9553978025763	89.79
P17	S034_BJ20190424031DNA	normal	125061864	125034266	9911486210	9910585726	12212.4448	176	57.3094	0.0032	163.9428	99.9779325214599	23.6918	0.951753	16950641356	125061864	0.495635	99.0867689094408	26.8760337461718	89.29
P17	S115_BJ20190416107PES	tumor	252518460	252452972	18640595512	18638628108	10699.4253	145	57.1829	0.0056	308.3283	99.9740660544184	41.2091	0.937166	31135689121	252518460	0.500734	99.2272542039436	52.6771233989753	91.43
P18	S006_BJ20190416167PES	tumor	250427122	250327119	19657485421	19655623252	19201.9189	169	57.2349	0.0036	325.1484	99.9600670250086	31.053	0.947992	33223272306	250427122	0.508067	99.0247975842338	32.1152841412861	92.38
P18	S038_BJ20190416083PES	tumor	223738834	223635739	15969928026	15968435292	88365.741	145	57.0891	0.0031	264.1537	99.9539217228601	33.8888	0.957425	28253409488	223738834	0.521012	98.9775215718947	48.7774721563111	89.8
P18	S054_BJ20190424051DNA	normal	91653744	91635617	7288001487	7287408267	11348.6306	174	57.3299	0.0033	120.5486	99.9802223027572	23.7188	0.953762	12397624700	91653744	0.498254	98.9885030279416	28.5271613572619	86.03
P19	S023_BJ20190416087PES	tumor	246645292	246574786	19117615812	19115529790	12404.2197	170	57.2597	0.0032	316.2186	99.9714140093945	34.3012	0.954116	33001191210	246645292	0.510554	99.2393401797352	31.6324580743304	92.24
P19	S024_BJ20190416088PTS	normal	195930582	195883937	14318603116	14317344104	13268.675	155	57.2546	0.003	236.8396	99.9761930988395	35.3642	0.952566	25427777955	195930582	0.470807	99.3424243643262	43.8273167400356	89.95
P19	S103_BJ20190416171PES	tumor	245876994	245800801	18070264830	18068212110	27268.6204	172	57.2288	0.0059	298.8947	99.969011740887	35.992	0.928619	31934600489	245876994	0.507528	99.2572184895352	31.3944909471086	91.98
P19	S104_BJ20190416172PTS	normal	294071750	293988060	21139082539	21136994878	11536.2254	175	57.2651	0.0059	349.6551	99.9715409589666	37.7856	0.927344	38585755010	294071750	0.482754	99.2483488395454	28.7451160295292	93.06
P20	S016_BJ20190416011PES	tumor	176768684	176716673	13188569128	13187348843	26898.3561	165	57.2388	0.0038	218.1481	99.9705768019408	38.0429	0.946742	23190840293	176768684	0.490756	99.0993202342607	35.5030395075945	90.48
P20	S027_BJ20190416095PES	tumor	179473362	179404136	11851337025	11850319257	15777.1633	130	57.1218	0.0031	196.0293	99.9614282591976	34.2237	0.954458	20773457991	179473362	0.490918	99.1220623992595	65.0937661017866	88.25
P20	S042_BJ20190424028DNA	normal	323333486	323235181	25411731192	25409623506	9545.8816	182	57.2666	0.0029	420.3276	99.9695964061081	33.1529	0.951123	44116536412	323333486	0.494076	99.1857390476342	23.6479897574596	93.98
P21	S014_BJ20190416041PES	tumor	317019668	316910561	23661246354	23658795122	30576.394	150	57.2095	0.0033	391.3734	99.9655835233541	40.7122	0.961108	40674302038	317019668	0.508833	99.2545096243819	46.8846734464666	92.22
P21	S039_BJ20190424036DNA	normal	102539004	102520352	7893746161	7893081877	33389.2178	180	57.3844	0.003	130.568	99.9818098486699	24.9717	0.955119	14139309600	102539004	0.47103	99.2641832993389	22.6570540365619	86.71
P21	S121_BJ20190416125PES	tumor	220102248	220042947	16006366140	16004695986	7502.4688	141	57.2187	0.0055	264.7564	99.9730575218841	39.1564	0.9378	26480234356	220102248	0.510016	99.0577289406409	56.4047490049503	90.26
P22	S012_SZ20191229058PES	tumor	210922970	210827857	13227809083	13226262788	94311.9173	169	57.1745	0.0042	218.7971	99.954906286404	33.7503	0.95825	28163613288	210922970	0.50708	98.9378561838146	32.694616189332	90.18
P22	S050_SZ20200107047DNA	normal	105614586	105572785	7957286134	7956510189	15916.2856	181	57.3155	0.0032	131.619	99.9604211865206	21.8712	0.950606	14425148082	105614586	0.495128	98.8684995777887	24.3676669316651	87.34
P22	S065140_SZ20191229059PES	tumor	255542228	255230898	18459399040	18456899187	63353.5229	143	57.0771	0.0043	305.3312	99.8781688637386	36.2738	0.949784	32043887545	255542228	0.528918	97.1734315172162	49.6785539733814	90.54
P23	S032_BJ20190416085PES	tumor	274408550	274320537	21134119029	21132127989	26633.5598	164	57.2081	0.0033	349.573	99.9679262909264	38.3175	0.949775	36113901573	274408550	0.497795	99.1488610098334	36.071012335201	92.57
P23	S055_BJ20190424052DNA	normal	111400870	111373758	8539971308	8539264881	15482.9822	165	57.2824	0.0029	141.257	99.9756626676255	22.7201	0.953807	14649312531	111400870	0.495134	99.0335608959811	36.3722821344905	87.64
P23	S101_BJ20190416169PES	tumor	341290016	341165891	24038387882	24036043209	31387.7434	163	57.177	0.0056	397.6116	99.963630638407	41.245	0.93106	43651506596	341290016	0.497606	99.2464574433921	37.4997753585374	93
P24	S035_BJ20190424032DNA	normal	144760544	144731930	11311433820	11310458845	9985.8002	164	57.3508	0.0029	187.0989	99.9802335641955	28.1545	0.956509	19276732778	144760544	0.497242	99.0969953720453	35.9394453642242	89.74
P24	S065_BJ20190416109PES	tumor	213982160	213902282	15487178054	15485499679	49002	146	57.1851	0.0055	256.1686	99.9626707198395	32.2004	0.939148	26421584312	213982160	0.523703	99.0494358900411	50.0644601741273	89.69
P24	S113_BJ20190416025PES	tumor	280610878	280522550	21531811836	21529530059	20087.6151	150	57.2405	0.0038	356.1511	99.9685229593986	48.0658	0.955091	35908956360	280610878	0.520694	99.1573065232547	47.5808003899311	91.65
P25	S069_SZ20191229070PTS	normal	113646100	113601119	7137856865	7137085935	49648.6203	188	57.3104	0.0037	118.0651	99.9604201112049	23.9865	0.948451	15522739732	113646100	0.473193	99.1688812816567	22.0124006804624	86.19
P25	S070_SZ20191229071PTS	normal	126565890	126513538	7981854566	7980967811	26849.4801	173	57.2847	0.0038	132.0254	99.9586365647174	23.8294	0.949499	17048044778	126565890	0.48315	99.0168327040758	29.5438850406736	86.78
P25	S135_SZ20191229072PES	tumor	297419164	297290914	22155119403	22152177326	22076.4559	154	57.192	0.0039	366.461	99.9568790395766	35.0912	0.951976	38678245080	297419164	0.516742	98.8855761732476	43.697301190858	92.31
P25	S136_SZ20191229073PES	tumor	269581234	269467980	20256096238	20253748630	23374.5616	164	57.2218	0.0038	335.0498	99.9579889155044	32.6293	0.950058	35636069841	269581234	0.516726	98.9441287913544	36.0947513239103	92.44
P26	S067_BJ20190424064DNA	normal	108418244	108388598	8154997593	8154341715	15369.8243	164	57.2736	0.003	134.8893	99.9726558935967	23.9453	0.953866	14262805243	108418244	0.494822	99.0579529292227	37.5618510077743	87.1
P26	S154_BJ20190424023PES	tumor	234306452	234247185	16356618975	16355132570	65151.9155	139	57.0951	0.003	270.5498	99.9747053487029	41.976	0.96018	29108749969	234306452	0.497192	99.2520507035493	55.5516603245943	90.31
P26	S159_BJ20190424024PES	tumor	272256940	272181103	20652045230	20650100688	56021.3771	163	57.1762	0.0033	341.5991	99.972145062675	41.7978	0.957182	36441412600	272256940	0.50284	99.1228501256948	34.7234457782195	92.21
P27	S023_BJ20190424001PES	tumor	262890956	262807801	18673094601	18671322205	12754.476	134	57.1197	0.0036	308.8659	99.9683690145659	38.4663	0.95528	31159736594	262890956	0.514621	99.0899311374033	62.6725301177227	90.63
P27	S024_BJ20190424002PES	tumor	251983780	251912914	18993448548	18991567319	28375.7334	148	57.1596	0.004	314.1648	99.9718767612741	36.2177	0.955385	31974755044	251983780	0.52015	99.0360896513209	49.175309949266	91.11
P27	S056_BJ20190424053DNA	normal	99908358	99890895	7741895148	7741259726	46251.8496	180	57.3107	0.0029	128.0563	99.9825209818782	24.411	0.953697	13754824696	99908358	0.477246	99.1711376137839	22.5004715446222	86.65
P28	S002_BJ20190416127PES	tumor	295979634	295826869	21239495945	21237285475	10628.1297	148	57.1633	0.0049	351.316	99.9483866514951	41.3744	0.940626	36796098852	295979634	0.494146	99.1265572405201	48.9288186376484	91.91
P28	S016_BJ20190416043PES	tumor	309256346	309150595	22359546899	22357461254	40562.8978	149	57.154	0.0031	369.8424	99.9658047437449	42.5319	0.957544	39357079723	309256346	0.469481	99.2879519212301	47.5711894615012	91.78
P28	S040_BJ20190424037DNA	normal	89436928	89421425	6970389620	6969799316	35736.5067	182	57.3472	0.0031	115.2951	99.982665996757	23.4035	0.954079	12344563769	89436928	0.474038	99.2614886911266	21.6839597424902	85.35
P29	S005_SZ20191229068PTS	normal	95528346	95499434	6793456092	6792704748	61514.6497	180	57.2793	0.0036	112.3685	99.9697346377169	27.0407	0.95488	13097137103	95528346	0.498627	99.1946270283903	24.0876573787958	84.14
P29	S006_SZ20191229069PTS	normal	78925730	78902400	5502681640	5502090258	90187.7615	205	57.3182	0.0038	91.0182	99.9704405648196	24.9921	0.950197	10946346256	78925730	0.481893	99.2477411460768	15.0016279371212	81.89
P29	S069144_SZ20191229066PES	tumor	219534002	219380958	16295202873	16292909078	44360.7808	142	57.1206	0.004	269.5339	99.9302868810272	34.547	0.951695	27618489607	219534002	0.530808	97.7983656223321	52.0546739964076	89.63
P29	S134_SZ20191229067PES	tumor	227309222	227218500	17224258417	17222305802	41100.1804	176	57.2328	0.004	284.9012	99.9600887288242	32.9422	0.950332	30949332563	227309222	0.51204	98.8604698967164	25.2364596051371	92.01
P30	S010_BJ20190416037PES	tumor	291348456	291253006	21552548523	21550427204	49683.1569	160	57.2249	0.0033	356.4941	99.9672385427023	41.1719	0.957601	38303521031	291348456	0.478302	99.2857373127082	38.1554087823514	92.28
P30	S069_BJ20190426002DNA	normal	90303918	90282547	6974207072	6973594797	31695.0204	184	57.4014	0.0031	115.3582	99.9763343601548	22.5445	0.949946	12449384891	90303918	0.478146	99.1891904597627	20.2372032383789	85.79
P30	S117_BJ20190416121PES	tumor	210691948	210636694	15924931378	15923198609	11543.3831	150	57.2473	0.0054	263.4094	99.9737749826111	38.5335	0.938129	26121048823	210691948	0.527815	99.1684154063583	48.769413194531	89.74
P31	S015_BJ20190416006PTS	normal	200133016	200028019	14959249181	14957840214	17330.9269	150	57.2084	0.0036	247.4363	99.9475363924961	39.0128	0.949979	25365444176	200133016	0.497812	99.0382551999769	47.8679754886462	90.57
P31	S025_BJ20190416089PES	tumor	181149476	177502188	12617735302	12616534165	41271.9634	155	57.1234	0.0035	208.7061	97.9865865027399	35.8444	0.95337	23452473469	181149476	0.507897	99.1753003810368	41.7433764148289	89.43
P31	S026_BJ20190416090PTS	normal	203059584	202626396	14207967704	14206622322	11273.8555	140	57.1567	0.0037	235.0096	99.7866695127279	37.2007	0.953018	24723018093	203059584	0.49013	99.2375892623321	56.9856989182455	89.82
P31	S111_BJ20190416005PES	tumor	182758680	182619052	12364284446	12363082960	107215.5015	140	57.0608	0.0036	204.5138	99.9235997983789	46.8299	0.95125	22706945366	182758680	0.492234	98.9970898350477	51.4259589426484	88.53
P32	S009_SZ20191229056PES	tumor	205219252	205120878	12097085378	12095681126	27515.1314	135	57.1196	0.0042	200.0942	99.9520639515829	33.4019	0.960864	24921892837	205219252	0.524519	98.8181380799804	63.1352916634573	86.94
P32	S010_SZ20191229057PES	tumor	239821058	239731687	15160171326	15158626014	44049.5078	158	57.1882	0.0037	250.7597	99.9627342983367	34.1444	0.959784	31563088312	239821058	0.509851	99.0099952424054	41.4909855269097	90.72
P32	S049_SZ20200107042DNA	normal	128063938	128013401	9622257278	9621432834	16303.5615	178	57.3082	0.003	159.1588	99.960537680795	25.9314	0.952991	17463331557	128063938	0.494027	98.95137637472	26.0032310965606	89.1
P33	S002_SZ20191229040PES	tumor	206732142	206329382	12543390607	12541889591	40055.0715	125	57.0681	0.0035	207.4764	99.8051778518311	36.4929	0.961452	23987597914	206732142	0.501617	98.9071109519317	68.3266734112711	88.46
P33	S003_SZ20191229041PES	tumor	160254528	160158103	10133205004	10131912257	110655.4291	137	57.0491	0.0038	167.6102	99.9398300932876	35.2215	0.958744	20044314666	160254528	0.504067	98.7040405551587	53.698058427815	87.03
P33	S045_SZ20200107029DNA	normal	126774876	126729993	9533701462	9532814788	30636.715	183	57.3092	0.003	157.694	99.9645962974557	25.3749	0.952849	17428737126	126774876	0.49321	98.9709787374765	22.5488906573959	89.12
P34	S009102_BJ20190416149PES	tumor	426322750	426076182	28829363008	28826155084	11425.2835	119	57.0116	0.0036	476.8576	99.9421640060259	51.8924	0.960287	47036105123	426322750	0.537366	98.7641714679331	75.7922093631991	90.6
P34	S047_BJ20190424044DNA	normal	90239974	90223679	7066604935	7065997207	25102.2312	175	57.3261	0.0032	116.8865	99.981942592315	24.0764	0.953687	12335040933	90239974	0.477024	99.2355560923974	25.98232396939	85.43
P34	S068143_SZ20191229064PES	tumor	228258656	228015171	15779059687	15776718673	39599.2803	121	56.9979	0.0046	260.9966	99.8933293465112	38.2882	0.953482	26128354612	228258656	0.556742	97.0399668424563	70.1352374217973	84.58
P35	S063_BJ20190416157PES	tumor	177403974	177341510	12798784848	12797443210	79170.4853	148	57.1232	0.0051	211.7008	99.9647899657535	32.1409	0.934397	22190456995	177403974	0.501735	99.1404691516978	46.1141081461709	89.41
P35	S068_BJ20190424065DNA	normal	125289240	125259470	9821541081	9820697798	15095.5037	182	57.3184	0.003	162.4551	99.9762389810969	26.9611	0.953991	17206181613	125289240	0.493298	99.0554187477207	22.7400790917528	89.37
P35	S111_BJ20190416073PES	tumor	285327894	285218535	21092835139	21090571414	21557.8574	148	57.1634	0.0057	348.8901	99.9616725170235	41.4461	0.931404	35233761143	285327894	0.492375	99.2496023516705	49.8621744586928	91.93
P36	S002_BJ20190416163PES	tumor	220307174	220234038	16930152243	16928559099	45831.1342	166	57.2037	0.0032	280.0364	99.9668027151944	31.8637	0.951183	29056107259	220307174	0.51278	99.1085710511986	33.9486664010661	91.4
P36	S003_BJ20190416164PTS	normal	228269216	228192863	17793578232	17791863646	8444.0637	167	57.2635	0.0033	294.3181	99.9665513373472	31.9049	0.949685	30451357698	228269216	0.487768	99.145978702257	32.5807105417586	91.93
P36	S037_BJ20190416080PTS	normal	235117332	235022061	18037850921	18036146322	24188.9825	169	57.2242	0.0033	298.3585	99.9594793802781	32.5335	0.953168	31212800329	235117332	0.501113	99.0472450103963	32.4459573445284	92.16
P36	S062_BJ20190416079PES	tumor	189122882	189037285	13426054647	13424808291	112003.1396	156	57.1095	0.0056	222.0762	99.954740008668	31.0941	0.928736	24019140097	189122882	0.497218	99.1116966559179	38.7120635480763	89.89
P37	S012_BJ20190416039PES	tumor	267535322	267434072	18571218407	18569317735	80826.3148	136	57.0324	0.0033	307.1808	99.9621545300101	41.2552	0.959051	32849299211	267535322	0.512307	99.0670911742668	55.864174858273	90.66
P37	S038_BJ20190424035DNA	normal	86496462	86478124	6761709106	6761138434	25404.8054	179	57.3322	0.0031	111.8433	99.9787991328478	23.6592	0.952068	11889115467	86496462	0.47856	99.2368500288361	23.0957390473947	84.95
